지역,초등_학교수,중_학교수,고_학교수,초등_학생수,중_학생수,고_학생수
계룡시,6,3,2,2670,1775,1395
공주시,28,14,10,3123,2098,3292
금산군,17,8,4,1397,1025,1011
논산시,31,14,13,4280,2501,3557
당진시,34,15,8,9581,5354,4386
보령시,30,11,6,3252,2115,1745
부여군,23,10,5,1606,1088,1030
서산시,30,16,8,8824,5150,4599
서천군,16,9,7,1240,844,1159
아산시,50,23,12,23241,13181,11179
예산군,24,11,7,2475,1909,2293
천안시 동남구,39,17,12,13084,9088,9581
천안시 서북구,39,16,10,23117,11933,10303
청양군,11,4,2,659,481,568
태안군,21,7,4,1687,1052,1029
홍성군,21,12,8,4918,2754,2521
합계,420,190,118,105154,62348,59648
